Mod:Item:MetaData, Localized Name
appliedenergistics2:facade:0, Кабельный фасад - Планки тёмной башни
appliedenergistics2:facade:0, Кабельный фасад - Боковые планки тёмной башни
appliedenergistics2:facade:0, Кабельный фасад - Трестнутые планки тёмной башни
appliedenergistics2:facade:0, Кабельный фасад - Замшелые планки тёмной башни
appliedenergistics2:facade:0, Кабельный фасад - Инфицированные планки тёмной башни
appliedenergistics2:facade:0, Кабельный фасад - Восстанавливающийся блок
appliedenergistics2:facade:0, Кабельный фасад - Исчезающий блок
appliedenergistics2:facade:0, Кабельный фасад - Заблокированный восстанавливающийся блок
appliedenergistics2:facade:0, Кабельный фасад - Разблокированый восстанавливающийся блок
appliedenergistics2:facade:0, Кабельный фасад - Строитель башни
appliedenergistics2:facade:0, Кабельный фасад - Антистроитель
appliedenergistics2:facade:0, Кабельный фасад - Ловушка для гаста
appliedenergistics2:facade:0, Кабельный фасад - Карминитовый реактор
appliedenergistics2:facade:0, Кабельный фасад - Крепкий щит
appliedenergistics2:facade:0, Кабельный фасад - Трофейный пьедестал
appliedenergistics2:facade:0, Кабельный фасад - Блок Авроры
appliedenergistics2:facade:0, Кабельный фасад - Подземные кирпичи
appliedenergistics2:facade:0, Кабельный фасад - Потресканные поздемные кирпичи
appliedenergistics2:facade:0, Кабельный фасад - Замшелые подземные кирпичи
appliedenergistics2:facade:0, Кабельный фасад - Шипастая роза
appliedenergistics2:facade:0, Кабельный фасад - Thorn Leaves
appliedenergistics2:facade:0, Кабельный фасад - Бобовые листья
appliedenergistics2:facade:0, Кабельный фасад - Влажный камень смерти
appliedenergistics2:facade:0, Кабельный фасад - Потрескавшийся камень смерти
appliedenergistics2:facade:0, Кабельный фасад - Камень смерти
appliedenergistics2:facade:0, Кабельный фасад - Листва тёмного дерева
appliedenergistics2:facade:0, Кабельный фасад - Колонна Авроры
appliedenergistics2:facade:0, Кабельный фасад - Тролльштеин
appliedenergistics2:facade:0, Кабельный фасад - Прозрачное облако
appliedenergistics2:facade:0, Кабельный фасад - Взбытое облако
appliedenergistics2:facade:0, Кабельный фасад - Гигантский булыжник
appliedenergistics2:facade:0, Кабельный фасад - Гигантское дерево
appliedenergistics2:facade:0, Кабельный фасад - Гигантские листья
appliedenergistics2:facade:0, Кабельный фасад - Гигантский обсидиан
appliedenergistics2:facade:0, Кабельный фасад - Анбеоновая почва
appliedenergistics2:facade:0, Кабельный фасад - Огромный стебель
appliedenergistics2:facade:0, Кабельный фасад - Огромный грибрил
appliedenergistics2:facade:0, Кабельный фасад - Тролловидр
appliedenergistics2:facade:0, Кабельный фасад - Спелый тролльбер
appliedenergistics2:facade:0, Кабельный фасад - Тролльбер
appliedenergistics2:facade:0, Кабельный фасад - Slide Trap
appliedenergistics2:facade:0, Кабельный фасад - Slide Trap 1
appliedenergistics2:facade:0, Кабельный фасад - Slide Trap 2
appliedenergistics2:facade:0, Кабельный фасад - Slide Trap 3
appliedenergistics2:facade:0, Кабельный фасад - Castle Brick
appliedenergistics2:facade:0, Кабельный фасад - Worn Castle Brick
appliedenergistics2:facade:0, Кабельный фасад - Cracked Castle Brick
appliedenergistics2:facade:0, Кабельный фасад - Castle Roof Tile
appliedenergistics2:facade:0, Кабельный фасад - tile.CastleBrick.4.name
appliedenergistics2:facade:0, Кабельный фасад - tile.CastleBrick.5.name
appliedenergistics2:facade:0, Кабельный фасад - tile.CastlePillar.0.name
appliedenergistics2:facade:0, Кабельный фасад - tile.CastlePillar.1.name
appliedenergistics2:facade:0, Кабельный фасад - tile.CastlePillar.2.name
appliedenergistics2:facade:0, Кабельный фасад - tile.CastlePillar.3.name
appliedenergistics2:facade:0, Кабельный фасад - Pink Castle Rune Brick
appliedenergistics2:facade:0, Кабельный фасад - Blue Castle Rune Brick
appliedenergistics2:facade:0, Кабельный фасад - Yellow Castle Rune Brick
appliedenergistics2:facade:0, Кабельный фасад - Violet Castle Rune Brick
appliedenergistics2:facade:0, Кабельный фасад - tile.CinderFurnaceIdle.name
appliedenergistics2:facade:0, Кабельный фасад - tile.CinderLog.0.name
appliedenergistics2:facade:0, Кабельный фасад - tile.CastleDoor.0.name
appliedenergistics2:facade:0, Кабельный фасад - Block of Ironwood
appliedenergistics2:facade:0, Кабельный фасад - Block of Fiery Metal
appliedenergistics2:facade:0, Кабельный фасад - Block of Steeleaf
appliedenergistics2:facade:0, Кабельный фасад - Block of Arctic Fur
appliedenergistics2:facade:0, Кабельный фасад - Block of Carminite
appliedenergistics2:facade:0, Кабельный фасад - Источник воды
appliedenergistics2:facade:0, Кабельный фасад - Источник нефти
appliedenergistics2:facade:0, Кабельный фасад - tile.decorated.destroy.name
appliedenergistics2:facade:0, Кабельный фасад - Чертёж (декорация)
appliedenergistics2:facade:0, Кабельный фасад - Шаблон (декорация)
appliedenergistics2:facade:0, Кабельный фасад - tile.decorated.paper.name
appliedenergistics2:facade:0, Кабельный фасад - tile.decorated.leather.name
appliedenergistics2:facade:0, Кабельный фасад - Лазер (декорация)
appliedenergistics2:facade:0, Кабельный фасад - Редстоуновая руда Незера
appliedenergistics2:facade:0, Кабельный фасад - Железная руда Незера
appliedenergistics2:facade:0, Кабельный фасад - Золотая руда Незера
appliedenergistics2:facade:0, Кабельный фасад - Каменный уголь Незера
appliedenergistics2:facade:0, Кабельный фасад - Лазуритовая руда Незера
appliedenergistics2:facade:0, Кабельный фасад - Изумрудная руда Незера
appliedenergistics2:facade:0, Кабельный фасад - Алмазная руда Незера
appliedenergistics2:facade:0, Кабельный фасад - Редстоуновая руда Энда
appliedenergistics2:facade:0, Кабельный фасад - Каменный уголь Энда
appliedenergistics2:facade:0, Кабельный фасад - Лазуритовая руда Энда
appliedenergistics2:facade:0, Кабельный фасад - Изумрудная руда Энда
appliedenergistics2:facade:0, Кабельный фасад - Алмазная руда Энда
appliedenergistics2:facade:0, Кабельный фасад - Золотая руда Энда
appliedenergistics2:facade:0, Кабельный фасад - Железная руда Энда
appliedenergistics2:facade:0, Кабельный фасад - Сухая торфяная почва
appliedenergistics2:facade:0, Кабельный фасад - Насыщенная торфяная почва
appliedenergistics2:facade:0, Кабельный фасад - Звукопоглотитель
appliedenergistics2:facade:0, Кабельный фасад - Подстригатель
appliedenergistics2:facade:0, Кабельный фасад - Корица
appliedenergistics2:facade:0, Кабельный фасад - Клён
appliedenergistics2:facade:0, Кабельный фасад - Мелалеука
appliedenergistics2:facade:0, Кабельный фасад - Колодец
appliedenergistics2:facade:0, Кабельный фасад - Улей
appliedenergistics2:facade:0, Кабельный фасад - Медовый блок
appliedenergistics2:facade:0, Кабельный фасад - Блок медовых сот
appliedenergistics2:facade:0, Кабельный фасад - Прессованный блок воска
appliedenergistics2:facade:0, Кабельный фасад - Блок восковых сот
appliedenergistics2:crystal_seed:0, Семя истинного кварца
appliedenergistics2:crystal_seed:600, Семя кварца Нижнего мира
appliedenergistics2:crystal_seed:1200, Изменчивое семя
appliedenergistics2:crystal_seed:0, Семя истинного кварца
appliedenergistics2:crystal_seed:600, Семя кварца Нижнего мира
appliedenergistics2:crystal_seed:1200, Изменчивое семя
appliedenergistics2:crystal_seed:0, Семя истинного кварца
appliedenergistics2:crystal_seed:600, Семя кварца Нижнего мира
appliedenergistics2:crystal_seed:1200, Изменчивое семя
appliedenergistics2:encoded_pattern, Кодированный шаблон
appliedenergistics2:paint_ball:0, Шар с краской - Белый
appliedenergistics2:paint_ball:1, Шар с краской - Оранжевый
appliedenergistics2:paint_ball:2, Шар с краской - Сиреневый
appliedenergistics2:paint_ball:3, Шар с краской - Светло-синий
appliedenergistics2:paint_ball:4, Шар с краской - Жёлтый
appliedenergistics2:paint_ball:5, Шар с краской - Лаймовый
appliedenergistics2:paint_ball:6, Шар с краской - Розовый
appliedenergistics2:paint_ball:7, Шар с краской - Серый
appliedenergistics2:paint_ball:8, Шар с краской - Светло-серый
appliedenergistics2:paint_ball:9, Шар с краской - Бирюзовый
appliedenergistics2:paint_ball:10, Шар с краской - Фиолетовый
appliedenergistics2:paint_ball:11, Шар с краской - Синий
appliedenergistics2:paint_ball:12, Шар с краской - Коричневый
appliedenergistics2:paint_ball:13, Шар с краской - Зелёный
appliedenergistics2:paint_ball:14, Шар с краской - Красный
appliedenergistics2:paint_ball:15, Шар с краской - Чёрный
appliedenergistics2:paint_ball:20, Шар с краской - Люмен Белый
appliedenergistics2:paint_ball:21, Шар с краской - Люмен Оранжевый
appliedenergistics2:paint_ball:22, Шар с краской - Люмен Сиреневый
appliedenergistics2:paint_ball:23, Шар с краской - Люмен Светло-синий
appliedenergistics2:paint_ball:24, Шар с краской - Люмен Жёлтый
appliedenergistics2:paint_ball:25, Шар с краской - Люмен Лаймовый
appliedenergistics2:paint_ball:26, Шар с краской - Люмен Розовый
appliedenergistics2:paint_ball:27, Шар с краской - Люмен Серый
appliedenergistics2:paint_ball:28, Шар с краской - Люмен Светло-серый
appliedenergistics2:paint_ball:29, Шар с краской - Люмен Бирюзовый
appliedenergistics2:paint_ball:30, Шар с краской - Люмен Фиолетовый
appliedenergistics2:paint_ball:31, Шар с краской - Люмен Синий
appliedenergistics2:paint_ball:32, Шар с краской - Люмен Коричневый
appliedenergistics2:paint_ball:33, Шар с краской - Люмен Зелёный
appliedenergistics2:paint_ball:34, Шар с краской - Люмен Красный
appliedenergistics2:paint_ball:35, Шар с краской - Люмен Чёрный
appliedenergistics2:dummy_fluid_item, item.appliedenergistics2.dummy_fluid_item.name
appliedenergistics2:material:28, Продвинутая карта
appliedenergistics2:material:44, Ядро истребления
appliedenergistics2:material:25, Базовая карта
appliedenergistics2:material:52, Пустой шаблон
appliedenergistics2:material:23, Вычислительный процессор
appliedenergistics2:material:13, Вычислительный пресс для высекателя
appliedenergistics2:material:16, Отпечатанный вычислительный контур
appliedenergistics2:material:27, Карта ёмкости
appliedenergistics2:material:53, Карта крафта
appliedenergistics2:material:29, Карта нечёткости
appliedenergistics2:material:31, Карта инвертирования
appliedenergistics2:material:26, Карта красного камня
appliedenergistics2:material:30, Карта ускорения
appliedenergistics2:material:34, 128³ пространственный компонент
appliedenergistics2:material:37, 16К МЭ компонент хранения
appliedenergistics2:material:33, 16³ пространственный компонент
appliedenergistics2:material:35, 1К МЭ компонент хранения
appliedenergistics2:material:32, 2³ пространственный компонент
appliedenergistics2:material:36, 4К МЭ компонент хранения
appliedenergistics2:material:38, 64К МЭ компонент хранения
appliedenergistics2:material:0, Кристалл истинного кварца
appliedenergistics2:material:1, Заряженный кристалл истинного кварца
appliedenergistics2:material:2, Пыль истинного кварца
appliedenergistics2:material:39, МЭ корпус ячейки хранения
appliedenergistics2:material:46, Пыль Края
appliedenergistics2:material:24, Инженерный процессор
appliedenergistics2:material:14, Инженерный пресс для высекателя
appliedenergistics2:material:17, Отпечатанный инженерный контур
appliedenergistics2:material:4, Мука
appliedenergistics2:material:56, 16k ME Fluid Storage Component
appliedenergistics2:material:54, 1k ME Fluid Storage Component
appliedenergistics2:material:55, 4k ME Fluid Storage Component
appliedenergistics2:material:57, 64k ME Fluid Storage Component
appliedenergistics2:material:7, Изменчивый кристалл
appliedenergistics2:material:8, Изменчивая пыль
appliedenergistics2:material:9, Изменчивая жемчужина
appliedenergistics2:material:43, Ядро формирования
appliedenergistics2:material:51, Золотая пыль
appliedenergistics2:material:49, Железная пыль
appliedenergistics2:material:22, Логический процессор
appliedenergistics2:material:15, Логический пресс для высекателя
appliedenergistics2:material:18, Отпечатанный логический контур
appliedenergistics2:material:6, Шарик материи
appliedenergistics2:material:21, Именующий пресс для высекателя
appliedenergistics2:material:3, Пыль кварца Нижнего мира
appliedenergistics2:material:10, Чистый кристалл истинного кварца
appliedenergistics2:material:12, Чистый изменчивый кристалл
appliedenergistics2:material:11, Чистый кристалл кварца Нижнего мира
appliedenergistics2:material:48, Квантовая запутанная сингулярность
appliedenergistics2:material:5, Кремний
appliedenergistics2:material:19, Кремниевый пресс для высекателя
appliedenergistics2:material:20, Отпечатанный кремний
appliedenergistics2:material:47, Сингулярность
appliedenergistics2:material:45, Пыль небесного камня
appliedenergistics2:material:41, Беспроводной приёмник
appliedenergistics2:material:42, Беспроводной усилитель
appliedenergistics2:material:40, Деревянная шестерня
appliedenergistics2:part:300, МЭ плоскость истребления
appliedenergistics2:part:120, Кабельный якорь
appliedenergistics2:part:20, МЭ закрытый кабель - Белый
appliedenergistics2:part:21, МЭ закрытый кабель - Оранжевый
appliedenergistics2:part:22, МЭ закрытый кабель - Сиреневый
appliedenergistics2:part:23, МЭ закрытый кабель - Светло-синий
appliedenergistics2:part:24, МЭ закрытый кабель - Жёлтый
appliedenergistics2:part:25, МЭ закрытый кабель - Лаймовый
appliedenergistics2:part:26, МЭ закрытый кабель - Розовый
appliedenergistics2:part:27, МЭ закрытый кабель - Серый
appliedenergistics2:part:28, МЭ закрытый кабель - Светло-серый
appliedenergistics2:part:29, МЭ закрытый кабель - Бирюзовый
appliedenergistics2:part:30, МЭ закрытый кабель - Фиолетовый
appliedenergistics2:part:31, МЭ закрытый кабель - Синий
appliedenergistics2:part:32, МЭ закрытый кабель - Коричневый
appliedenergistics2:part:33, МЭ закрытый кабель - Зелёный
appliedenergistics2:part:34, МЭ закрытый кабель - Красный
appliedenergistics2:part:35, МЭ закрытый кабель - Чёрный
appliedenergistics2:part:36, МЭ закрытый кабель - Изменчивый
appliedenergistics2:part:500, МЭ плотный закрытый кабель - Белый
appliedenergistics2:part:501, МЭ плотный закрытый кабель - Оранжевый
appliedenergistics2:part:502, МЭ плотный закрытый кабель - Сиреневый
appliedenergistics2:part:503, МЭ плотный закрытый кабель - Светло-синий
appliedenergistics2:part:504, МЭ плотный закрытый кабель - Жёлтый
appliedenergistics2:part:505, МЭ плотный закрытый кабель - Лаймовый
appliedenergistics2:part:506, МЭ плотный закрытый кабель - Розовый
appliedenergistics2:part:507, МЭ плотный закрытый кабель - Серый
appliedenergistics2:part:508, МЭ плотный закрытый кабель - Светло-серый
appliedenergistics2:part:509, МЭ плотный закрытый кабель - Бирюзовый
appliedenergistics2:part:510, МЭ плотный закрытый кабель - Фиолетовый
appliedenergistics2:part:511, МЭ плотный закрытый кабель - Синий
appliedenergistics2:part:512, МЭ плотный закрытый кабель - Коричневый
appliedenergistics2:part:513, МЭ плотный закрытый кабель - Зелёный
appliedenergistics2:part:514, МЭ плотный закрытый кабель - Красный
appliedenergistics2:part:515, МЭ плотный закрытый кабель - Чёрный
appliedenergistics2:part:516, МЭ плотный закрытый кабель - Изменчивый
appliedenergistics2:part:60, МЭ плотный умный кабель - Белый
appliedenergistics2:part:61, МЭ плотный умный кабель - Оранжевый
appliedenergistics2:part:62, МЭ плотный умный кабель - Сиреневый
appliedenergistics2:part:63, МЭ плотный умный кабель - Светло-синий
appliedenergistics2:part:64, МЭ плотный умный кабель - Жёлтый
appliedenergistics2:part:65, МЭ плотный умный кабель - Лаймовый
appliedenergistics2:part:66, МЭ плотный умный кабель - Розовый
appliedenergistics2:part:67, МЭ плотный умный кабель - Серый
appliedenergistics2:part:68, МЭ плотный умный кабель - Светло-серый
appliedenergistics2:part:69, МЭ плотный умный кабель - Бирюзовый
appliedenergistics2:part:70, МЭ плотный умный кабель - Фиолетовый
appliedenergistics2:part:71, МЭ плотный умный кабель - Синий
appliedenergistics2:part:72, МЭ плотный умный кабель - Коричневый
appliedenergistics2:part:73, МЭ плотный умный кабель - Зелёный
appliedenergistics2:part:74, МЭ плотный умный кабель - Красный
appliedenergistics2:part:75, МЭ плотный умный кабель - Чёрный
appliedenergistics2:part:76, МЭ плотный умный кабель - Изменчивый
appliedenergistics2:part:0, МЭ стеклянный кабель - Белый
appliedenergistics2:part:1, МЭ стеклянный кабель - Оранжевый
appliedenergistics2:part:2, МЭ стеклянный кабель - Сиреневый
appliedenergistics2:part:3, МЭ стеклянный кабель - Светло-синий
appliedenergistics2:part:4, МЭ стеклянный кабель - Жёлтый
appliedenergistics2:part:5, МЭ стеклянный кабель - Лаймовый
appliedenergistics2:part:6, МЭ стеклянный кабель - Розовый
appliedenergistics2:part:7, МЭ стеклянный кабель - Серый
appliedenergistics2:part:8, МЭ стеклянный кабель - Светло-серый
appliedenergistics2:part:9, МЭ стеклянный кабель - Бирюзовый
appliedenergistics2:part:10, МЭ стеклянный кабель - Фиолетовый
appliedenergistics2:part:11, МЭ стеклянный кабель - Синий
appliedenergistics2:part:12, МЭ стеклянный кабель - Коричневый
appliedenergistics2:part:13, МЭ стеклянный кабель - Зелёный
appliedenergistics2:part:14, МЭ стеклянный кабель - Красный
appliedenergistics2:part:15, МЭ стеклянный кабель - Чёрный
appliedenergistics2:part:16, МЭ стеклянный кабель - Изменчивый
appliedenergistics2:part:40, МЭ умный кабель - Белый
appliedenergistics2:part:41, МЭ умный кабель - Оранжевый
appliedenergistics2:part:42, МЭ умный кабель - Сиреневый
appliedenergistics2:part:43, МЭ умный кабель - Светло-синий
appliedenergistics2:part:44, МЭ умный кабель - Жёлтый
appliedenergistics2:part:45, МЭ умный кабель - Лаймовый
appliedenergistics2:part:46, МЭ умный кабель - Розовый
appliedenergistics2:part:47, МЭ умный кабель - Серый
appliedenergistics2:part:48, МЭ умный кабель - Светло-серый
appliedenergistics2:part:49, МЭ умный кабель - Бирюзовый
appliedenergistics2:part:50, МЭ умный кабель - Фиолетовый
appliedenergistics2:part:51, МЭ умный кабель - Синий
appliedenergistics2:part:52, МЭ умный кабель - Коричневый
appliedenergistics2:part:53, МЭ умный кабель - Зелёный
appliedenergistics2:part:54, МЭ умный кабель - Красный
appliedenergistics2:part:55, МЭ умный кабель - Чёрный
appliedenergistics2:part:56, МЭ умный кабель - Изменчивый
appliedenergistics2:part:420, МЭ монитор преобразования
appliedenergistics2:part:360, МЭ терминал крафта
appliedenergistics2:part:200, Тёмная осветительная панель
appliedenergistics2:part:260, МЭ шина экспорта
appliedenergistics2:part:302, ME Fluid Annihilation Plane
appliedenergistics2:part:261, ME Fluid Export Bus
appliedenergistics2:part:321, ME Fluid Formation Plane
appliedenergistics2:part:241, ME Fluid Import Bus
appliedenergistics2:part:441, ME Fluid Interface
appliedenergistics2:part:281, ME Fluid Level Emitter
appliedenergistics2:part:221, ME Fluid Storage Bus
appliedenergistics2:part:520, ME Fluid Terminal
appliedenergistics2:part:320, МЭ плоскость формирования
appliedenergistics2:part:301, МЭ id плоскость истребления
appliedenergistics2:part:240, МЭ шина импорта
appliedenergistics2:part:440, МЭ интерфейс
appliedenergistics2:part:480, МЭ терминал интерфейсов
appliedenergistics2:part:100, МЭ инвертированная шина переключения
appliedenergistics2:part:280, МЭ излучатель уровня
appliedenergistics2:part:160, Яркая осветительная панель
appliedenergistics2:part:469, Туннель точка-точка - FE
appliedenergistics2:part:463, Туннель точка-точка - Жидкость
appliedenergistics2:part:462, Туннель точка-точка - Предмет
appliedenergistics2:part:467, Туннель точка-точка - Свет
appliedenergistics2:part:460, Туннель точка-точка - МЭ
appliedenergistics2:part:461, Туннель точка-точка - Красный камень
appliedenergistics2:part:340, МЭ терминал шаблонов
appliedenergistics2:part:140, Кварцевое оптическое волокно
appliedenergistics2:part:180, Осветительная панель
appliedenergistics2:part:220, МЭ шина хранения
appliedenergistics2:part:400, МЭ монитор хранения
appliedenergistics2:part:380, МЭ терминал
appliedenergistics2:part:80, МЭ шина переключения
backpack:stick:0, Каменный стержень
backpack:stick:1, Железный стержень
backpack:bound_leather, Вязаная кожа
backpack:tanned_leather, Дублёная кожа
backpack:backpack_frame:0, Деревянная рамка
backpack:backpack_frame:1, Каменная рамка
backpack:backpack_frame:2, Железная рамка
backpack:backpack_piece:0, Верхняя часть рюкзака
backpack:backpack_piece:1, Средняя часть рюкзака
backpack:backpack_piece:2, Нижняя часть рюкзака
backpack:backpack:0, Маленький рюкзак
backpack:backpack:1, Чёрный рюкзак
backpack:backpack:2, Красный рюкзак
backpack:backpack:3, Зелёный рюкзак
backpack:backpack:4, Коричневый рюкзак
backpack:backpack:5, Синий рюкзак
backpack:backpack:6, Фиолетовый рюкзак
backpack:backpack:7, Бирюзовый рюкзак
backpack:backpack:8, Светло-серый рюкзак
backpack:backpack:9, Серый рюкзак
backpack:backpack:10, Розовый рюкзак
backpack:backpack:11, Лаймовый рюкзак
backpack:backpack:12, Жёлтый рюкзак
backpack:backpack:13, Голубой рюкзак
backpack:backpack:14, Сиреневый рюкзак
backpack:backpack:15, Оранжевый рюкзак
backpack:backpack:16, Белый рюкзак
backpack:backpack:100, Средний рюкзак
backpack:backpack:101, Средний чёрный рюкзак
backpack:backpack:102, Средний красный рюкзак
backpack:backpack:103, Средний зелёный рюкзак
backpack:backpack:104, Средний коричневый рюкзак
backpack:backpack:105, Средний синий рюкзак
backpack:backpack:106, Средний фиолетовый рюкзак
backpack:backpack:107, Средний бирюзовый рюкзак
backpack:backpack:108, Средний светло-серый рюкзак
backpack:backpack:109, Средний серый рюкзак
backpack:backpack:110, Средний розовый рюкзак
backpack:backpack:111, Средний лаймовый рюкзак
backpack:backpack:112, Средний жёлтый рюкзак
backpack:backpack:113, Средний голубой рюкзак
backpack:backpack:114, Средний сиреневый рюкзак
backpack:backpack:115, Средний оранжевый рюкзак
backpack:backpack:116, Средний белый рюкзак
backpack:backpack:200, Большой рюкзак
backpack:backpack:201, Большой чёрный рюкзак
backpack:backpack:202, Большой красный рюкзак
backpack:backpack:203, Большой зелёный рюкзак
backpack:backpack:204, Большой коричневый рюкзак
backpack:backpack:205, Большой синий рюкзак
backpack:backpack:206, Большой фиолетовый рюкзак
backpack:backpack:207, Большой бирюзовый рюкзак
backpack:backpack:208, Большой светло-серый рюкзак
backpack:backpack:209, Большой серый рюкзак
backpack:backpack:210, Большой розовый рюкзак
backpack:backpack:211, Большой лаймовый рюкзак
backpack:backpack:212, Большой жёлтый рюкзак
backpack:backpack:213, Большой голубой рюкзак
backpack:backpack:214, Большой сиреневый рюкзак
backpack:backpack:215, Большой оранжевый рюкзак
backpack:backpack:216, Большой белый рюкзак
baubles:ring:0, Кольцо шахтёра
thaumcraft:thaumonomicon:0, Таумономикон
thaumcraft:curio:0, Мистический реликт
thaumcraft:curio:1, Сохранившийся реликт
thaumcraft:curio:2, Древний реликт
thaumcraft:curio:3, Потусторонний реликт
thaumcraft:curio:4, Сияющий реликт
thaumcraft:curio:5, Запутанный реликт
thaumcraft:curio:6, Багровые ритуалы
thaumcraft:loot_bag:0, Обычное сокровище
thaumcraft:loot_bag:1, Необычное сокровище
thaumcraft:loot_bag:2, Редкое сокровище
thaumcraft:primordial_pearl, item.primordial_pearl.name
thaumcraft:pech_wand, Палочка Пехта
thaumcraft:celestial_notes:0, Заметки о небесах
thaumcraft:celestial_notes:1, Заметки о небесах
thaumcraft:celestial_notes:2, Заметки о небесах
thaumcraft:celestial_notes:3, Заметки о небесах
thaumcraft:celestial_notes:4, Заметки о небесах
thaumcraft:celestial_notes:5, Заметки о небесах
thaumcraft:celestial_notes:6, Заметки о небесах
thaumcraft:celestial_notes:7, Заметки о небесах
thaumcraft:celestial_notes:8, Заметки о небесах
thaumcraft:celestial_notes:9, Заметки о небесах
thaumcraft:celestial_notes:10, Заметки о небесах
thaumcraft:celestial_notes:11, Заметки о небесах
thaumcraft:celestial_notes:12, Заметки о небесах
thaumcraft:amber, Янтарь
thaumcraft:quicksilver, Ртуть
thaumcraft:ingot:0, Слиток таумиума
thaumcraft:ingot:1, Слиток пустотного металла
thaumcraft:ingot:2, Слиток алхимической латуни
thaumcraft:nugget:0, Кусочек железа
thaumcraft:nugget:1, Кусочек меди
thaumcraft:nugget:2, Кусочек олова
thaumcraft:nugget:3, Кусочек серебра
thaumcraft:nugget:4, Кусочек свинца
thaumcraft:nugget:5, Капля ртути
thaumcraft:nugget:6, Кусочек таумиума
thaumcraft:nugget:7, Кусочек пустотного металла
thaumcraft:nugget:8, Кусочек алхимической латуни
thaumcraft:nugget:9, Кварцевый осколок
thaumcraft:nugget:10, Кусочек редкоземельного элемента
thaumcraft:cluster:0, Самородный кластер железа
thaumcraft:cluster:1, Самородный кластер золота
thaumcraft:cluster:2, Самородный кластер меди
thaumcraft:cluster:3, Самородный кластер олова
thaumcraft:cluster:4, Самородный кластер серебра
thaumcraft:cluster:5, Самородный кластер свинца
thaumcraft:cluster:6, Самородный кластер киновари
thaumcraft:cluster:7, Самородный кластер кварца
thaumcraft:fabric, Заколдованная ткань
thaumcraft:vis_resonator, Вис-резонатор
thaumcraft:tallow, Магический жир
thaumcraft:mechanism_simple, Простой мистический механизм
thaumcraft:mechanism_complex, Сложный мистический механизм
thaumcraft:plate:0, Латунная пластина
thaumcraft:plate:1, Железная пластина
thaumcraft:plate:2, Пластина из таумиума
thaumcraft:plate:3, Пластина из пустотного металла
thaumcraft:filter, Фильтр эссенций
thaumcraft:morphic_resonator, Морфический резонатор
thaumcraft:salis_mundus, Salis Mundus
thaumcraft:mirrored_glass, Отражающее стекло
thaumcraft:void_seed, Семя пустоты
thaumcraft:mind:0, Часовой разум
thaumcraft:mind:1, Биотаумиевый разум
thaumcraft:module:0, Модуль зрения
thaumcraft:module:1, Модуль агрессии
thaumcraft:crystal_essence, Вис-кристалл %s
thaumcraft:chunk:0, Кусочек говядины
thaumcraft:chunk:1, Кусочек курицы
thaumcraft:chunk:2, Кусочек свинины
thaumcraft:chunk:3, Кусочек рыбы
thaumcraft:chunk:4, Кусочек кролика
thaumcraft:chunk:5, Кусочек баранины
thaumcraft:triple_meat_treat, Лакомство из тройного мяса
thaumcraft:brain, Мозг зомби
thaumcraft:label:0, Пустая бирка
thaumcraft:phial:0, Стеклянный пузырёк
thaumcraft:phial:1, Пузырёк с эссенцией Aer
thaumcraft:phial:1, Пузырёк с эссенцией Terra
thaumcraft:phial:1, Пузырёк с эссенцией Ignis
thaumcraft:phial:1, Пузырёк с эссенцией Aqua
thaumcraft:phial:1, Пузырёк с эссенцией Ordo
thaumcraft:phial:1, Пузырёк с эссенцией Perditio
thaumcraft:phial:1, Пузырёк с эссенцией Vacuos
thaumcraft:phial:1, Пузырёк с эссенцией Lux
thaumcraft:phial:1, Пузырёк с эссенцией Motus
thaumcraft:phial:1, Пузырёк с эссенцией Gelum
thaumcraft:phial:1, Пузырёк с эссенцией Vitreus
thaumcraft:phial:1, Пузырёк с эссенцией Metallum
thaumcraft:phial:1, Пузырёк с эссенцией Victus
thaumcraft:phial:1, Пузырёк с эссенцией Mortuus
thaumcraft:phial:1, Пузырёк с эссенцией Potentia
thaumcraft:phial:1, Пузырёк с эссенцией Permutatio
thaumcraft:phial:1, Пузырёк с эссенцией Praecantatio
thaumcraft:phial:1, Пузырёк с эссенцией Auram
thaumcraft:phial:1, Пузырёк с эссенцией Alkimia
thaumcraft:phial:1, Пузырёк с эссенцией Vitium
thaumcraft:phial:1, Пузырёк с эссенцией Tenebrae
thaumcraft:phial:1, Пузырёк с эссенцией Alienis
thaumcraft:phial:1, Пузырёк с эссенцией Volatus
thaumcraft:phial:1, Пузырёк с эссенцией Herba
thaumcraft:phial:1, Пузырёк с эссенцией Instrumentum
thaumcraft:phial:1, Пузырёк с эссенцией Fabrico
thaumcraft:phial:1, Пузырёк с эссенцией Machina
thaumcraft:phial:1, Пузырёк с эссенцией Vinculum
thaumcraft:phial:1, Пузырёк с эссенцией Spiritus
thaumcraft:phial:1, Пузырёк с эссенцией Cognitio
thaumcraft:phial:1, Пузырёк с эссенцией Sensus
thaumcraft:phial:1, Пузырёк с эссенцией Aversio
thaumcraft:phial:1, Пузырёк с эссенцией Praemunio
thaumcraft:phial:1, Пузырёк с эссенцией Desiderium
thaumcraft:phial:1, Пузырёк с эссенцией Exanimis
thaumcraft:phial:1, Пузырёк с эссенцией Bestia
thaumcraft:phial:1, Пузырёк с эссенцией Humanus
thaumcraft:phial:1, Пузырёк с эссенцией Fluctus
